Name,Height,Floors,Year,Address
One World Trade Center,"1,776 (541)
","94
","2014
","285 Fulton Street
"
Central Park Tower,"1,550 (472)
","99
","2021
","225 West 57th Street
"
111 West 57th Street,"1,428 (435)
","85
","2022
","111 West 57th Street
"
One Vanderbilt,"1,401 (427)
","73
","2020
","1 Vanderbilt Avenue
"
432 Park Avenue,"1,397 (426)
","85
","2015
","432 Park Avenue
"
30 Hudson Yards,"1,270 (387)
","103
","2019
","500 West 33rd Street
"
Empire State Building,"1,250 (381)
","102
","1931
","350 Fifth Avenue
"
Bank of America Tower,"1,200 (366)
","55
","2009
","1101 Sixth Avenue
"
3 World Trade Center,"1,079 (329)
","69
","2018
","175 Greenwich Street
"
The Brooklyn Tower,"1,073 (327)
","73
","2022
","9 DeKalb Avenue
"
53W53,"1,050 (320)[53]
","77
","2019
","53 West 53rd Street
"
Chrysler Building,"1,046 (319)
","77
","1930
","405 Lexington Avenue
"
The Spiral,"1,041 (317)
","66
","2022
","435 Tenth Avenue
"
The New York Times Building,"1,046 (319)
","52
","2007
","620 Eighth Avenue
"
50 Hudson Yards,"1,011 (308)
","58
","2022
","504 West 34th Street
"
,"1,009 (308)
","72
","2019
","532–560 West 33rd Street
"
One57,"1,004 (306)
","75
","2014
","157 West 57th Street
"
One Manhattan West,"996 (304)
","67
","2019
","401 Ninth Avenue
"
4 World Trade Center,"977 (298)
","65
","2014
","150 Greenwich Street
"
70 Pine Street,"952 (290)
","67
","1932
","70 Pine Street
"
220 Central Park South,"950 (290)
","67
","2019
","220 59th Street
"
Two Manhattan West,"935 (285)
","58
","2023
","401 West 31st Street
"
40 Wall Street,"927 (283)
","71
","1930
","40 Wall Street
"
Four Seasons Hotel New York Downtown,"926 (282)
","67
","2016
","27 Barclay Street
"
125 Greenwich Street,"912 (278)
","72
","—
","125 Greenwich Street
"
15 Hudson Yards,"914 (279)
","70
","2019
","545 West 30th Street
"
8 Spruce Street,"870 (265)
","76
","2011
","8 Spruce Street
"
10 Hudson Yards,"878 (268)
","52
","2016
","501 West 30th Street
"
Citigroup Center,"915 (279)
","59
","1977
","601 Lexington Avenue
"
30 Rockefeller Plaza,"850 (259)
","70
","1933
","30 Rockefeller Plaza
"
425 Park Avenue,"860 (262)
","44
","2021
","425 Park Avenue
"
Trump World Tower,"861 (262)
","72
","2001
","845 United Nations Plaza (First Avenue)
"
One Manhattan Square,"847 (258)
","72
","2019
","250 South Street
"
Sutton Tower,"847 (258)
","65
","2022
","426–432 East 58th Street
"
56 Leonard Street,"821 (250)
","57
","2016
","56 Leonard Street
"
